
Minimum time:  301	(0.109767 ms)

Test #		Time
594:		365	(0.133106 ms)
595:		304	(0.110861 ms)
596:		306	(0.11159 ms)
597:		312	(0.113778 ms)
598:		465	(0.169573 ms)
599:		312	(0.113778 ms)
600:		303	(0.110496 ms)
601:		304	(0.110861 ms)
602:		419	(0.152798 ms)
603:		314	(0.114507 ms)
604:		317	(0.115601 ms)
605:		417	(0.152069 ms)
606:		417	(0.152069 ms)
607:		429	(0.156445 ms)
608:		354	(0.129094 ms)
609:		341	(0.124353 ms)
610:		559	(0.203852 ms)
611:		444	(0.161915 ms)
612:		325	(0.118519 ms)
613:		317	(0.115601 ms)
614:		331	(0.120707 ms)
615:		315	(0.114872 ms)
616:		451	(0.164467 ms)
617:		321	(0.11706 ms)
618:		323	(0.117789 ms)
619:		311	(0.113413 ms)
620:		439	(0.160091 ms)
621:		312	(0.113778 ms)
622:		323	(0.117789 ms)
623:		319	(0.116331 ms)
624:		481	(0.175408 ms)
625:		316	(0.115237 ms)
626:		319	(0.116331 ms)
627:		318	(0.115966 ms)
628:		320	(0.116695 ms)
629:		308	(0.112319 ms)
630:		316	(0.115237 ms)
631:		319	(0.116331 ms)
632:		318	(0.115966 ms)
633:		314	(0.114507 ms)
634:		317	(0.115601 ms)
635:		308	(0.112319 ms)
636:		323	(0.117789 ms)
637:		310	(0.113049 ms)
638:		318	(0.115966 ms)
639:		316	(0.115237 ms)
640:		305	(0.111225 ms)
641:		324	(0.118154 ms)
642:		317	(0.115601 ms)
643:		320	(0.116695 ms)
644:		320	(0.116695 ms)
645:		310	(0.113049 ms)
646:		305	(0.111225 ms)
647:		319	(0.116331 ms)
648:		308	(0.112319 ms)
649:		305	(0.111225 ms)
650:		307	(0.111955 ms)
651:		314	(0.114507 ms)
652:		310	(0.113049 ms)
653:		311	(0.113413 ms)
654:		305	(0.111225 ms)
655:		312	(0.113778 ms)
656:		312	(0.113778 ms)
657:		305	(0.111225 ms)
658:		306	(0.11159 ms)
659:		309	(0.112684 ms)
660:		316	(0.115237 ms)
661:		320	(0.116695 ms)
662:		315	(0.114872 ms)
663:		321	(0.11706 ms)
664:		314	(0.114507 ms)
665:		319	(0.116331 ms)
666:		319	(0.116331 ms)
667:		311	(0.113413 ms)
668:		317	(0.115601 ms)
669:		318	(0.115966 ms)
670:		318	(0.115966 ms)
671:		308	(0.112319 ms)
672:		308	(0.112319 ms)
673:		310	(0.113049 ms)
674:		311	(0.113413 ms)
675:		318	(0.115966 ms)
676:		327	(0.119248 ms)
677:		316	(0.115237 ms)
678:		313	(0.114143 ms)
679:		317	(0.115601 ms)
680:		319	(0.116331 ms)
681:		305	(0.111225 ms)
682:		315	(0.114872 ms)
683:		315	(0.114872 ms)
684:		313	(0.114143 ms)
685:		314	(0.114507 ms)
686:		303	(0.110496 ms)
687:		306	(0.11159 ms)
688:		355	(0.129459 ms)
689:		513	(0.187077 ms)
690:		397	(0.144775 ms)
691:		389	(0.141858 ms)
692:		479	(0.174678 ms)
693:		338	(0.123259 ms)
694:		333	(0.121436 ms)
695:		330	(0.120342 ms)
696:		423	(0.154257 ms)
697:		327	(0.119248 ms)
698:		313	(0.114143 ms)
699:		323	(0.117789 ms)
700:		415	(0.151339 ms)
701:		318	(0.115966 ms)
702:		325	(0.118519 ms)
703:		316	(0.115237 ms)
704:		488	(0.17796 ms)
705:		2055	(0.749403 ms)
706:		540	(0.196923 ms)
707:		3624	(1.32157 ms)
708:		2845	(1.03749 ms)
709:		2216	(0.808115 ms)
710:		380	(0.138576 ms)
711:		450	(0.164103 ms)
712:		326	(0.118883 ms)
713:		338	(0.123259 ms)
714:		333	(0.121436 ms)
715:		440	(0.160456 ms)
716:		364	(0.132741 ms)
717:		379	(0.138211 ms)
718:		477	(0.173949 ms)
719:		326	(0.118883 ms)
720:		314	(0.114507 ms)
721:		318	(0.115966 ms)
722:		309	(0.112684 ms)
723:		426	(0.155351 ms)
724:		319	(0.116331 ms)
725:		311	(0.113413 ms)
726:		319	(0.116331 ms)
727:		451	(0.164467 ms)
728:		494	(0.180148 ms)
729:		536	(0.195465 ms)
730:		424	(0.154621 ms)
731:		362	(0.132012 ms)
732:		382	(0.139305 ms)
733:		382	(0.139305 ms)
734:		404	(0.147328 ms)
735:		356	(0.129824 ms)
736:		407	(0.148422 ms)
737:		646	(0.235579 ms)
738:		707	(0.257824 ms)
739:		406	(0.148057 ms)
740:		337	(0.122895 ms)
741:		409	(0.149151 ms)
742:		648	(0.236308 ms)
743:		441	(0.160821 ms)
744:		462	(0.168479 ms)
745:		707	(0.257824 ms)
746:		566	(0.206405 ms)
747:		445	(0.162279 ms)
748:		318	(0.115966 ms)
749:		321	(0.11706 ms)
750:		315	(0.114872 ms)
751:		418	(0.152433 ms)
752:		319	(0.116331 ms)
753:		306	(0.11159 ms)
754:		313	(0.114143 ms)
755:		426	(0.155351 ms)
756:		306	(0.11159 ms)
757:		313	(0.114143 ms)
758:		314	(0.114507 ms)
759:		426	(0.155351 ms)
760:		318	(0.115966 ms)
761:		315	(0.114872 ms)
762:		314	(0.114507 ms)
763:		415	(0.151339 ms)
764:		317	(0.115601 ms)
765:		302	(0.110131 ms)
766:		315	(0.114872 ms)
767:		410	(0.149516 ms)
768:		313	(0.114143 ms)
769:		314	(0.114507 ms)
770:		305	(0.111225 ms)
771:		423	(0.154257 ms)
772:		319	(0.116331 ms)
773:		310	(0.113049 ms)
774:		315	(0.114872 ms)
775:		415	(0.151339 ms)
776:		354	(0.129094 ms)
777:		314	(0.114507 ms)
778:		317	(0.115601 ms)
779:		416	(0.151704 ms)
780:		314	(0.114507 ms)
781:		315	(0.114872 ms)
782:		317	(0.115601 ms)
783:		408	(0.148787 ms)
784:		318	(0.115966 ms)
785:		312	(0.113778 ms)
786:		316	(0.115237 ms)
787:		419	(0.152798 ms)
788:		318	(0.115966 ms)
789:		309	(0.112684 ms)
790:		303	(0.110496 ms)
791:		371	(0.135294 ms)
792:		473	(0.17249 ms)
793:		309	(0.112684 ms)
794:		310	(0.113049 ms)
795:		413	(0.15061 ms)
796:		313	(0.114143 ms)
797:		320	(0.116695 ms)
798:		316	(0.115237 ms)
799:		411	(0.149881 ms)
800:		304	(0.110861 ms)
801:		309	(0.112684 ms)
802:		319	(0.116331 ms)
803:		412	(0.150245 ms)
804:		311	(0.113413 ms)
805:		305	(0.111225 ms)
806:		310	(0.113049 ms)
807:		420	(0.153163 ms)
808:		318	(0.115966 ms)
809:		310	(0.113049 ms)
810:		428	(0.15608 ms)
811:		414	(0.150975 ms)
812:		414	(0.150975 ms)
813:		396	(0.14441 ms)
814:		342	(0.124718 ms)
815:		326	(0.118883 ms)
